ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
79,Complex,TRUE,0.605942667,150.7912521,150.8268201,0.035568,70.54435484,68.52822581,73.06451613,4.536290323,0.786829216,24.06843702,1.195671214,-73.22274155,0.818640118,70.04032258
80,2Syllabes,TRUE,0.599575341,150.9874505,151.0340065,0.046556,67.88284047,44.65275198,99.96248649,55.30973451,13.04079293,629.9082092,1.523106536,-92.68455178,0.535633597,67.88284047
81,2Syllabes,TRUE,0.604875326,151.1783404,151.2111404,0.0328,68.91768293,53.67378049,89.49695122,35.82317073,7.488094085,122.2868512,2.773002773,-76.38059016,0.779274089,68.1554878
82,Upward,TRUE,0.677412927,151.3906594,151.4052674,0.014608,88.85165663,82.07454819,95.62876506,13.55421687,3.984283981,716.0678764,1.571932034,-97.00273688,0.507513038,87.34563253
83,Downward,TRUE,0.829095304,163.028349,163.069313,0.040964,82.64880952,68.66071429,87.70833333,19.04761905,5.950728634,-469.0187763,1.19230328,-90.50771356,0.648326513,74.01785714
84,Downward,TRUE,0.811327755,163.8125858,163.8424818,0.029896,93.22044335,79.98152709,95.37561576,15.39408867,4.556189779,-308.7860337,1.502851522,-98.32265769,0.464381696,84.90763547
85,Downward,TRUE,0.895913363,179.8355855,179.8862095,0.050624,58.781663,43.36316079,64.28827093,20.92511013,5.65683575,-317.9536349,2.448180265,-94.24164879,0.599302204,62.63628855
86,Downward,TRUE,0.830664217,180.0161415,180.0658215,0.04968,65.72161836,51.22886473,71.15640097,19.92753623,5.321743582,-290.6807802,1.950368801,-79.88744779,0.789483504,69.9486715
87,Downward,TRUE,0.836673915,180.2378374,180.3013534,0.063516,65.82400498,46.85634328,71.11007463,24.25373134,8.316370639,-403.3201705,1.29053463,-81.56278666,0.739708421,68.00062189
88,Downward,TRUE,0.877300262,180.4626993,180.5224633,0.059764,64.25168161,47.99607623,66.49383408,18.49775785,6.139249279,-327.0654647,1.434540097,-92.26903757,0.630809638,65.93329596
89,Downward,TRUE,0.731318235,181.249459,181.260591,0.011132,73.24557087,72.01525591,73.49163386,1.476377953,0.506819538,-105.4196185,1.132063459,-92.55212391,0.647197125,73.49163386
90,2Syllabes,TRUE,0.865272999,191.2745012,191.3102852,0.035784,60.04589161,46.9340035,91.51442308,44.58041958,7.456434143,-598.9871112,1.30474578,-93.54528524,0.530220105,61.79414336
91,Composite,TRUE,0.691455662,191.4457519,191.5306919,0.08494,65.94551282,62.74038462,86.77884615,24.03846154,9.051960535,256.3806749,1.113494449,-86.9695361,0.6236511,63.54166667
92,Composite,TRUE,0.826465249,191.6333213,191.6973533,0.064032,65.48561151,50.19784173,87.06834532,36.8705036,8.89253875,94.10432166,2.668839008,-82.43134521,0.702042626,66.38489209
